Date,AAPL,AGG,AMZN,BA,GOOG,IBM,MGM,QQQ,SPY,T
2014-03-20,18.882143020629883,107.44000244140625,368.9700012207031,123.7300033569336,596.3447265625,187.89999389648438,26.3799991607666,90.29000091552734,187.75,34.09000015258789
2014-03-21,19.031070709228516,107.58999633789062,360.6199951171875,122.58000183105469,589.3110961914062,186.6699981689453,26.18000030517578,89.0,186.1999969482422,34.29999923706055
2014-03-24,19.256786346435547,107.75,351.8500061035156,123.41999816894531,576.802978515625,188.25,25.850000381469727,88.22000122070312,185.42999267578125,34.459999084472656
2014-03-25,19.46392822265625,107.63999938964844,354.7099914550781,124.0199966430664,577.196533203125,195.0399932861328,25.610000610351562,88.51000213623047,186.30999755859375,34.720001220703125
2014-03-26,19.277856826782227,107.9800033569336,343.4100036621094,123.52999877929688,563.8714599609375,192.6199951171875,24.969999313354492,87.37000274658203,184.97000122070312,34.61000061035156
2014-03-27,19.19499969482422,108.05999755859375,338.4700012207031,123.20999908447266,556.9309692382812,189.8300018310547,24.899999618530273,86.87999725341797,184.5800018310547,34.959999084472656
2014-03-28,19.17357063293457,107.9000015258789,338.2900085449219,124.45999908447266,558.456787109375,190.4499969482422,24.8799991607666,87.05000305175781,185.49000549316406,35.06999969482422
2014-03-31,19.16928482055664,107.91000366210938,336.3699951171875,125.48999786376953,555.4450073242188,192.49000549316406,25.860000610351562,87.66999816894531,187.00999450683594,35.06999969482422
2014-04-01,19.344642639160156,107.54000091552734,342.989990234375,128.2100067138672,565.6071166992188,194.5,26.530000686645508,89.20999908447266,188.25,35.09000015258789
2014-04-02,19.376785278320312,107.36000061035156,341.9599914550781,128.30999755859375,565.4475708007812,193.5500030517578,26.700000762939453,89.44000244140625,188.8800048828125,35.369998931884766
2014-04-03,19.24250030517578,107.44000244140625,333.6199951171875,128.77999877929688,568.1800537109375,192.69000244140625,26.25,88.7300033569336,188.6300048828125,35.630001068115234
2014-04-04,18.993572235107422,107.77999877929688,323.0,127.37999725341797,541.6528930664062,191.77000427246094,25.43000030517578,86.37000274658203,186.39999389648438,35.54999923706055
2014-04-07,18.695356369018555,107.94000244140625,317.760009765625,125.58999633789062,536.6765747070312,194.52000427246094,23.920000076293945,85.55000305175781,184.33999633789062,35.4900016784668
2014-04-08,18.694286346435547,108.06999969482422,327.07000732421875,124.1500015258789,553.3806762695312,193.2899932861328,24.459999084472656,86.33999633789062,185.10000610351562,35.27000045776367
2014-04-09,18.940000534057617,108.08000183105469,331.80999755859375,126.87999725341797,562.5953979492188,196.63999938964844,24.860000610351562,87.81999969482422,187.08999633789062,34.91999816894531
2014-04-10,18.695714950561523,108.33000183105469,317.1099853515625,123.63999938964844,539.4688720703125,195.67999267578125,24.079999923706055,85.0999984741211,183.16000366210938,35.119998931884766
2014-04-11,18.5575008392334,108.43000030517578,311.7300109863281,122.06999969482422,529.147216796875,195.19000244140625,23.90999984741211,84.11000061035156,181.50999450683594,35.20000076293945
