Date,AGG,BA,FMS,GAIA,GOOG,QQQ,RC,SPY,T
2016-04-28,110.9000015258789,134.8000030517578,44.08000183105469,6.579999923706055,691.02001953125,106.27999877929688,14.579999923706055,207.4499969482422,38.63999938964844
2016-04-29,110.88999938964844,134.8000030517578,43.630001068115234,6.630000114440918,693.010009765625,105.72000122070312,14.550000190734863,206.3300018310547,38.81999969482422
2016-05-02,110.61000061035156,134.00999450683594,44.189998626708984,6.630000114440918,698.2100219726562,106.72000122070312,14.470000267028809,207.97000122070312,39.099998474121094
2016-05-03,110.80999755859375,132.49000549316406,43.72999954223633,6.670000076293945,692.3599853515625,105.7300033569336,14.420000076293945,206.16000366210938,38.90999984741211
2016-05-04,110.86000061035156,130.88999938964844,42.81999969482422,6.679999828338623,695.7000122070312,105.05000305175781,14.40999984741211,205.00999450683594,38.880001068115234
2016-05-05,111.13999938964844,132.0800018310547,42.66999816894531,6.670000076293945,701.4299926757812,105.0199966430664,14.40999984741211,204.97000122070312,38.7400016784668
2016-05-06,110.97000122070312,133.25999450683594,42.83000183105469,6.670000076293945,711.1199951171875,105.58000183105469,14.449999809265137,205.72000122070312,38.9900016784668
2016-05-09,111.04000091552734,132.10000610351562,43.439998626708984,6.670000076293945,712.9000244140625,105.87999725341797,14.479999542236328,205.88999938964844,38.86000061035156
2016-05-10,111.08999633789062,134.72000122070312,42.95000076293945,6.710000038146973,723.1799926757812,107.33000183105469,14.390000343322754,208.4499969482422,39.310001373291016
2016-05-11,111.08999633789062,133.0,42.38999938964844,7.75,715.2899780273438,106.36000061035156,14.380000114440918,206.5,39.18000030517578
2016-05-12,110.98999786376953,134.4199981689453,42.09000015258789,7.679999828338623,713.3099975585938,105.88999938964844,14.300000190734863,206.55999755859375,39.54999923706055
2016-05-13,111.19999694824219,132.1199951171875,41.58000183105469,7.579999923706055,710.8300170898438,105.5,14.3100004196167,204.75999450683594,39.150001525878906
2016-05-16,111.01000213623047,134.13999938964844,41.900001525878906,7.590000152587891,716.489990234375,106.81999969482422,14.359999656677246,206.77999877929688,39.279998779296875
2016-05-17,110.86000061035156,132.55999755859375,41.029998779296875,7.579999923706055,706.22998046875,105.4800033569336,14.300000190734863,204.85000610351562,39.11000061035156
